date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
29-05-2022 05:45:03,el,BTC,29120.1,1653788703,0.0,0
30-05-2022 05:37:46,xl,BTC,29645.32,1653874666,0.0,1.8
30-05-2022 05:45:12,el,BTC,29695.85,1653875112,0.0,0
30-05-2022 10:08:16,xl,BTC,30541.93,1653890896,0.0,2.85
30-05-2022 16:23:31,el,BTC,30685.95,1653913411,0.0,0
31-05-2022 00:24:54,xl,BTC,31172.77,1653942294,0.0,1.59
31-05-2022 00:25:05,el,BTC,31370.23,1653942305,0.0,0
31-05-2022 01:17:36,xl,BTC,31000.0,1653945456,0.0,-1.18
31-05-2022 01:18:07,el,BTC,31588.17,1653945487,0.0,0
31-05-2022 20:43:26,xl,BTC,32335.16,1654015406,0.0,2.36
31-05-2022 20:50:31,el,BTC,32216.56,1654015831,0.0,0
01-06-2022 20:04:41,es,BTC,30641.0,1654099481,0.0,-4.89
01-06-2022 21:22:57,xs,BTC,29918.71,1654104177,0.0,2.41
01-06-2022 21:24:44,es,BTC,29988.02,1654104284,0.0,0
02-06-2022 00:28:36,xs,BTC,29672.49,1654115316,0.0,1.06
02-06-2022 17:15:21,es,BTC,29702.42,1654175721,0.0,0
03-06-2022 18:45:51,xs,BTC,29336.58,1654267551,0.0,1.25
04-06-2022 16:22:28,es,BTC,29594.68,1654345348,0.0,0
05-06-2022 19:45:01,el,BTC,29885.62,1654443901,0.0,-0.97
06-06-2022 05:30:01,xl,BTC,30593.44,1654479001,0.0,2.37
06-06-2022 05:30:02,el,BTC,30604.7,1654479002,0.0,0
06-06-2022 06:15:01,xl,BTC,30985.08,1654481701,0.0,1.24
06-06-2022 07:00:02,el,BTC,30928.11,1654484402,0.0,0
06-06-2022 13:45:01,xl,BTC,31413.65,1654508701,0.0,1.57
06-06-2022 19:00:01,el,BTC,31507.65,1654527601,0.0,0
10-06-2022 00:15:01,es,BTC,30133.14,1654805701,0.0,-4.36
10-06-2022 04:45:01,xs,BTC,29825.25,1654821901,0.0,1.03
10-06-2022 13:45:01,es,BTC,29995.99,1654854301,0.0,0
10-06-2022 17:30:06,xs,BTC,29444.22,1654867806,0.0,1.87
10-06-2022 18:15:01,es,BTC,29350.01,1654870501,0.0,0
10-06-2022 20:30:05,xs,BTC,28938.34,1654878605,0.0,1.42
10-06-2022 21:15:01,es,BTC,28950.66,1654881301,0.0,0
11-06-2022 17:30:01,xs,BTC,28675.81,1654954201,0.0,0.96
11-06-2022 19:45:01,es,BTC,28309.52,1654962301,0.0,0
11-06-2022 19:45:01,xs,BTC,28302.66,1654962301,0.0,0.02
11-06-2022 20:30:01,es,BTC,28316.74,1654965001,0.0,0
12-06-2022 07:00:03,xs,BTC,27375.05,1655002803,0.0,3.44
12-06-2022 07:45:02,es,BTC,27626.39,1655005502,0.0,0
12-06-2022 19:00:01,xs,BTC,27827.8,1655046001,0.0,-0.72
13-06-2022 00:15:01,es,BTC,27463.18,1655064901,0.0,0
13-06-2022 04:00:04,xs,BTC,26569.25,1655078404,0.0,3.36
13-06-2022 04:45:01,es,BTC,26587.43,1655081101,0.0,0
13-06-2022 04:45:01,xs,BTC,26581.77,1655081101,0.0,0.02
13-06-2022 05:30:01,es,BTC,26019.91,1655083801,0.0,0
13-06-2022 06:15:01,xs,BTC,25650.1,1655086501,0.0,1.44
13-06-2022 07:00:01,es,BTC,25344.49,1655089201,0.0,0
13-06-2022 07:45:01,xs,BTC,25484.73,1655091901,0.0,-0.55
13-06-2022 07:45:01,es,BTC,25484.73,1655091901,0.0,0
13-06-2022 12:15:00,xs,BTC,24819.94,1655108100,0.0,2.68
13-06-2022 12:15:01,es,BTC,24817.01,1655108101,0.0,0
13-06-2022 13:00:03,xs,BTC,24186.51,1655110803,0.0,2.61
13-06-2022 13:00:04,es,BTC,24172.52,1655110804,0.0,0
13-06-2022 13:45:01,xs,BTC,23920.27,1655113501,0.0,1.05
13-06-2022 13:45:01,es,BTC,23914.29,1655113501,0.0,0
13-06-2022 16:00:03,xs,BTC,23733.82,1655121603,0.0,0.76
13-06-2022 16:00:05,es,BTC,23763.97,1655121605,0.0,0
13-06-2022 17:30:08,xs,BTC,23413.18,1655127008,0.0,1.5
13-06-2022 19:00:01,es,BTC,22818.24,1655132401,0.0,0
13-06-2022 19:00:01,xs,BTC,22822.81,1655132401,0.0,-0.02
14-06-2022 04:00:02,es,BTC,22474.2,1655164802,0.0,0
14-06-2022 04:00:03,xs,BTC,22479.75,1655164803,0.0,-0.02
14-06-2022 05:30:01,es,BTC,21169.0,1655170201,0.0,0
14-06-2022 05:30:02,xs,BTC,21164.04,1655170202,0.0,0.02
14-06-2022 06:15:01,es,BTC,21315.66,1655172901,0.0,0
15-06-2022 10:00:01,xs,BTC,21221.17,1655272801,0.0,0.45
15-06-2022 12:15:01,es,BTC,20334.96,1655280901,0.0,0
15-06-2022 12:15:01,xs,BTC,20334.96,1655280901,0.0,0.0
15-06-2022 13:00:02,es,BTC,20259.59,1655283602,0.0,0
18-06-2022 11:30:01,xs,BTC,19245.56,1655537401,0.0,5.27
18-06-2022 12:15:00,es,BTC,19141.24,1655540100,0.0,0
18-06-2022 13:00:01,xs,BTC,19001.89,1655542801,0.0,0.73
18-06-2022 13:00:03,es,BTC,18989.0,1655542803,0.0,0
18-06-2022 22:00:01,xs,BTC,18618.94,1655575201,0.0,1.99
18-06-2022 22:45:00,es,BTC,18381.01,1655577900,0.0,0
18-06-2022 22:45:00,xs,BTC,18381.01,1655577900,0.0,0.0
18-06-2022 23:30:01,es,BTC,18238.54,1655580601,0.0,0
19-06-2022 00:15:02,xs,BTC,17919.48,1655583302,0.0,1.78
19-06-2022 01:00:03,es,BTC,17793.28,1655586003,0.0,0
21-06-2022 10:00:04,el,BTC,20905.51,1655791204,0.0,-14.89
21-06-2022 10:45:01,xl,BTC,21143.28,1655793901,0.0,1.14
21-06-2022 18:15:01,el,BTC,21499.99,1655820901,0.0,0
21-06-2022 18:15:02,xl,BTC,21500.0,1655820902,0.0,0.0
22-06-2022 19:00:01,el,BTC,20693.98,1655910001,0.0,0
26-06-2022 16:45:01,xl,BTC,21633.89,1656247501,0.0,4.54
27-06-2022 13:00:03,el,BTC,21494.2,1656320403,0.0,0
27-06-2022 18:15:02,es,BTC,20711.72,1656339302,0.0,-3.64
28-06-2022 22:45:01,xs,BTC,20357.16,1656441901,0.0,1.74
28-06-2022 22:45:01,es,BTC,20357.16,1656441901,0.0,0
29-06-2022 00:15:01,xs,BTC,20262.79,1656447301,0.0,0.47
29-06-2022 10:00:03,es,BTC,20176.78,1656482403,0.0,0
29-06-2022 11:30:01,xs,BTC,20066.86,1656487801,0.0,0.55
29-06-2022 11:30:01,es,BTC,20066.86,1656487801,0.0,0
30-06-2022 10:45:02,xs,BTC,19501.9,1656571502,0.0,2.9
30-06-2022 11:30:03,es,BTC,19429.03,1656574203,0.0,0
30-06-2022 13:00:03,xs,BTC,19226.79,1656579603,0.0,1.05
30-06-2022 13:00:03,es,BTC,19221.82,1656579603,0.0,0
30-06-2022 13:45:01,xs,BTC,19007.09,1656582301,0.0,1.13
30-06-2022 13:45:01,es,BTC,19007.09,1656582301,0.0,0
30-06-2022 18:15:02,xs,BTC,18969.99,1656598502,0.0,0.2
01-07-2022 01:00:03,es,BTC,18754.67,1656622803,0.0,0
04-07-2022 15:15:01,el,BTC,19519.9,1656933301,0.0,-3.92
04-07-2022 16:45:01,xl,BTC,19683.39,1656938701,0.0,0.84
04-07-2022 16:45:01,el,BTC,19683.4,1656938701,0.0,0
04-07-2022 19:45:01,xl,BTC,19800.71,1656949501,0.0,0.6
04-07-2022 22:00:02,el,BTC,19908.02,1656957602,0.0,0
05-07-2022 03:15:00,xl,BTC,20144.59,1656976500,0.0,1.19
05-07-2022 03:15:01,el,BTC,20144.58,1656976501,0.0,0
06-07-2022 00:15:01,xl,BTC,20695.98,1657052101,0.0,2.74
06-07-2022 00:15:01,el,BTC,20701.36,1657052101,0.0,0
07-07-2022 19:00:05,xl,BTC,20934.37,1657206005,0.0,1.13
07-07-2022 19:45:01,el,BTC,20869.71,1657208701,0.0,0
07-07-2022 22:45:01,xl,BTC,21264.95,1657219501,0.0,1.89
07-07-2022 23:30:01,el,BTC,21494.84,1657222201,0.0,0
08-07-2022 00:15:00,xl,BTC,21692.97,1657224900,0.0,0.92
08-07-2022 05:30:04,el,BTC,22428.93,1657243804,0.0,0
08-07-2022 05:30:04,xl,BTC,22428.91,1657243804,0.0,-0.0
08-07-2022 06:15:00,el,BTC,22137.4,1657246500,0.0,0
10-07-2022 18:15:00,es,BTC,20988.0,1657462500,0.0,-5.19
10-07-2022 20:30:01,xs,BTC,20776.78,1657470601,0.0,1.02
11-07-2022 05:30:00,es,BTC,20585.63,1657503000,0.0,0
11-07-2022 06:15:01,xs,BTC,20489.54,1657505701,0.0,0.47
12-07-2022 01:00:01,es,BTC,20435.37,1657573201,0.0,0
12-07-2022 02:30:01,xs,BTC,20109.73,1657578601,0.0,1.62
12-07-2022 02:30:01,es,BTC,20110.23,1657578601,0.0,0
12-07-2022 03:15:00,xs,BTC,20008.73,1657581300,0.0,0.51
12-07-2022 03:15:01,es,BTC,20007.53,1657581301,0.0,0
12-07-2022 11:30:01,xs,BTC,19660.47,1657611001,0.0,1.77
12-07-2022 12:15:00,es,BTC,19742.5,1657613700,0.0,0
13-07-2022 00:15:00,xs,BTC,19483.83,1657656900,0.0,1.33
13-07-2022 16:45:04,es,BTC,19120.52,1657716304,0.0,0
13-07-2022 16:45:06,xs,BTC,19127.43,1657716306,0.0,-0.04
13-07-2022 17:30:07,es,BTC,19017.51,1657719007,0.0,0
14-07-2022 04:00:03,el,BTC,20233.2,1657756803,0.0,-6.01
14-07-2022 22:00:01,xl,BTC,20744.78,1657821601,0.0,2.53
14-07-2022 22:00:03,el,BTC,20745.94,1657821603,0.0,0
15-07-2022 12:15:01,xl,BTC,20805.92,1657872901,0.0,0.29
15-07-2022 13:00:03,el,BTC,20876.81,1657875603,0.0,0
16-07-2022 20:30:01,xl,BTC,21167.14,1657989001,0.0,1.39
16-07-2022 21:15:01,el,BTC,21436.33,1657991701,0.0,0
16-07-2022 22:00:01,xl,BTC,21254.77,1657994401,0.0,-0.85
16-07-2022 22:00:03,el,BTC,21270.19,1657994403,0.0,0
17-07-2022 11:30:02,xl,BTC,21520.63,1658043002,0.0,1.18
18-07-2022 07:00:03,el,BTC,21341.04,1658113203,0.0,0
18-07-2022 10:00:02,xl,BTC,21870.19,1658124002,0.0,2.48
18-07-2022 10:00:05,el,BTC,21879.41,1658124005,0.0,0
18-07-2022 10:45:00,xl,BTC,22175.51,1658126700,0.0,1.35
18-07-2022 10:45:01,el,BTC,22181.79,1658126701,0.0,0
18-07-2022 20:30:01,xl,BTC,22290.96,1658161801,0.0,0.49
19-07-2022 04:00:03,el,BTC,22439.62,1658188803,0.0,0
19-07-2022 04:45:01,xl,BTC,22266.17,1658191501,0.0,-0.77
19-07-2022 17:30:02,el,BTC,22309.03,1658237402,0.0,0
19-07-2022 19:45:00,xl,BTC,22840.18,1658245500,0.0,2.38
19-07-2022 19:45:01,el,BTC,22838.7,1658245501,0.0,0
19-07-2022 20:30:02,xl,BTC,23288.44,1658248202,0.0,1.97
19-07-2022 20:30:02,el,BTC,23291.25,1658248202,0.0,0
19-07-2022 21:15:01,xl,BTC,23165.63,1658250901,0.0,-0.54
20-07-2022 19:00:02,el,BTC,24186.14,1658329202,0.0,0
