date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-08-2022 20:15:11,es,BTC,24195.67,1660580111,-1.26,0
15-08-2022 22:20:10,xs,BTC,24118.13,1660587610,-0.5,0.32
15-08-2022 22:20:11,el,BTC,24118.66,1660587611,-0.5,0
15-08-2022 22:40:10,xl,BTC,24093.15,1660588810,-0.81,-0.11
15-08-2022 22:40:11,es,BTC,24094.55,1660588811,-0.81,0
15-08-2022 23:50:08,xs,BTC,24058.85,1660593008,-0.97,0.15
15-08-2022 23:50:10,el,BTC,24057.34,1660593010,-0.97,0
16-08-2022 00:40:10,xl,BTC,24014.72,1660596010,-1.17,-0.18
16-08-2022 00:40:11,es,BTC,24014.04,1660596011,-1.17,0
16-08-2022 00:55:09,xs,BTC,24047.0,1660596909,-1.15,-0.14
16-08-2022 00:55:10,el,BTC,24049.17,1660596910,-1.15,0
16-08-2022 01:40:08,xl,BTC,24070.91,1660599608,-1.07,0.09
16-08-2022 01:40:09,es,BTC,24070.9,1660599609,-1.07,0
16-08-2022 02:15:10,xs,BTC,24103.12,1660601710,-0.41,-0.13
16-08-2022 02:15:11,el,BTC,24101.75,1660601711,-0.41,0
16-08-2022 02:45:08,xl,BTC,24061.24,1660603508,-1.13,-0.17
16-08-2022 02:45:09,es,BTC,24061.84,1660603509,-1.13,0
16-08-2022 03:25:10,xs,BTC,24012.36,1660605910,-1.22,0.21
16-08-2022 03:25:12,el,BTC,24016.86,1660605912,-1.22,0
16-08-2022 05:40:10,xl,BTC,24191.01,1660614010,-1.25,0.73
16-08-2022 05:40:11,es,BTC,24192.69,1660614011,-1.25,0
16-08-2022 06:15:09,xs,BTC,24172.25,1660616109,-2.29,0.08
16-08-2022 06:15:10,el,BTC,24171.32,1660616110,-2.29,0
16-08-2022 11:15:08,xl,BTC,24003.76,1660634108,-0.24,-0.69
16-08-2022 11:15:10,es,BTC,24004.95,1660634110,-0.24,0
16-08-2022 11:20:09,xs,BTC,24009.14,1660634409,-0.38,-0.02
16-08-2022 11:20:11,el,BTC,24009.22,1660634411,-0.38,0
16-08-2022 12:15:10,xl,BTC,24016.69,1660637710,0.24,0.03
